fecha;station_id;estacion;temperatura_12h_C;hora_temperatura;humedad_12h_pct;hora_humedad;viento_12h_kmh;hora_viento;lluvia_24h_mm;direccion_vectorial_diaria_deg;FFMC;DMC;DC;ISI;BUI;FWI
2021-02-24;C017;Miramon;19.82;12:00;42.85;12:00;20.844;12:00;0.0;170.8912832926169;82.63462461770091;6.452328794161092;7.428000000000001;4.406887297453659;6.108100419486426;3.6414920947722194
2021-02-25;C017;Miramon;17.41;12:00;51.9;12:00;5.4;12:00;0.0;193.9123241526721;85.33340512190944;7.717043979661092;10.2658;2.8965450733876716;7.431185502377079;2.415469439310482
2021-02-26;C017;Miramon;12.87;12:00;82.3;12:00;6.588;12:00;0.0;0.8784784149729035;82.67176260063587;8.068289594161092;12.2864;2.1586386483788833;7.840603179492056;1.5492320355319356
2021-02-27;C017;Miramon;11.43;12:00;80.8;12:00;12.132000000000001;12:00;0.0;310.75852718763645;82.03351008675608;8.410027802161093;14.0478;2.637697777210599;8.22331139168542;2.271886298831708
2021-02-28;C017;Miramon;11.82;12:00;75.33;12:00;5.867999999999999;12:00;0.0;159.99010242908548;82.08023742399523;8.862792858361093;15.8794;1.9346855371707643;8.707603455636796;1.3661220147216018
2021-03-01;C017;Miramon;14.4;12:00;56.52;12:00;13.14;12:00;1.9;159.33875399403348;74.52666774126413;8.612164238350747;18.1754;1.448211557606531;8.53279319602192;0.8032826687084476
2021-03-02;C017;Miramon;17.48;12:00;50.66;12:00;19.8;12:00;0.0;164.21098434831083;83.97323387899624;10.174834469470747;21.0258;4.973108006476708;10.085049918149148;5.4139389462095595
2021-03-03;C017;Miramon;17.82;12:00;53.53;12:00;8.64;12:00;0.0;201.3952250077031;85.71962562316024;11.673539926510747;23.9374;3.5985220815342926;11.579474177082766;4.1922305536805755
2021-03-04;C017;Miramon;17.33;12:00;58.84;12:00;10.188;12:00;0.0;230.63887078258492;85.76756993271687;12.966613348990746;26.7608;3.916613973443677;12.87498077262043;4.884120566280221
2021-03-05;C017;Miramon;11.01;12:00;95.9;12:00;4.14;12:00;0.0;263.15344566049043;78.79460651152259;13.051248443590746;28.4466;1.2446642334342761;12.985575807222611;0.8689685006952683
2021-03-06;C017;Miramon;9.2;12:00;75.95;12:00;7.236;12:00;0.0;14.012798765273487;79.8349805637511;13.473503432590746;29.8066;1.6098419116266591;13.414794571999812;1.5453338385842632
2021-03-07;C017;Miramon;9.79;12:00;76.2;12:00;3.9600000000000004;12:00;2.8;237.53562088154874;56.26872081351929;10.491150756256642;31.2728;0.3806093012924556;11.411610336144056;0.2469059462925863
2021-03-08;C017;Miramon;11.74;12:00;70.83;12:00;9.144;12:00;0.30000000000000004;305.24029895039536;69.26291261456186;11.129596413136642;33.09;0.9687381392150269;12.091749007617487;0.6492749519888591
2021-03-09;C017;Miramon;7.91;12:00;87.5;12:00;18.215999999999998;12:00;1.1;327.4364906885853;65.68197117030863;11.321576988136643;34.217800000000004;1.3560430852502037;12.392471538950868;0.9216566238555445
2021-03-10;C017;Miramon;16.11;12:00;37.76;12:00;4.716;12:00;0.1;185.5635273417875;81.01652661092638;13.147459959976644;36.821600000000004;1.6108462788172964;13.89320636265021;1.6126535547763414
2021-03-11;C017;Miramon;17.9;12:00;54.31;12:00;13.968;12:00;0.0;226.50234345811543;84.93618833686935;14.627240265976644;39.747600000000006;4.222705937290343;15.23664698430842;5.8090331150804015
2021-03-12;C017;Miramon;12.38;12:00;78.68;12:00;18.0;12:00;6.6;253.68826873494908;49.63951786707606;8.545624816300336;32.63420727749172;0.38878395546274885;10.329208513229393;0.2386963868528855
2021-03-13;C017;Miramon;16.86;12:00;39.67;12:00;17.676000000000002;12:00;0.0;252.09988256169777;78.29679054875693;10.392604599580336;35.373007277491716;2.354609750052696;11.983393740648104;2.5780207981850825
2021-03-14;C017;Miramon;9.76;12:00;99.9;12:00;12.168;12:00;10.999999999999995;293.2622176917138;16.855193326881185;4.8246099651110965;20.278196463044672;6.70043210059775e-05;6.050416303414917;3.139543188331667e-05
2021-03-15;C017;Miramon;10.44;12:00;89.7;12:00;16.164;12:00;1.2000000000000002;283.3592525658907;29.495868831877488;5.027222130311096;21.86139646304467;0.00676784911103978;6.384190882423682;0.0032518295949975342
2021-03-16;C017;Miramon;12.58;12:00;75.32;12:00;9.0;12:00;0.30000000000000004;322.9365592040946;50.804824825752526;5.602733273351096;23.82979646304467;0.28424131676862147;7.057287860379428;0.14330713152487384
2021-03-17;C017;Miramon;13.48;12:00;70.77;12:00;15.588000000000001;12:00;3.400000000000001;336.2667799089749;53.671785501036304;3.948919738366877;22.730619823378078;0.5396003154012672;5.506340878235619;0.24219803423116695
2021-03-18;C017;Miramon;10.04;12:00;68.35;12:00;9.72;12:00;0.0;357.7762693035673;67.84329753975338;4.549929310966877;24.241819823378076;0.9529968186983253;6.1936531330827735;0.45142532085095227
2021-03-19;C017;Miramon;7.31;12:00;99.9;12:00;6.588;12:00;18.6;14.010263738435583;10.452544528576704;1.6157613120494223;1.0197999999999998;2.346123778094852e-06;1.0659848819962665;6.238839879372611e-07
2021-03-20;C017;Miramon;8.21;12:00;65.83;12:00;12.096;12:00;0.1;0.35721626902773096;37.97882654129862;2.158033266469422;2.2016;0.04278419067399962;1.7705117636605292;0.01280860650659104
2021-03-21;C017;Miramon;12.98;12:00;57.44;12:00;10.368;12:00;0.0;334.3184694131674;63.79623745380169;3.1795059525494223;4.242;0.8451527162875911;2.8986869437478004;0.2941804090301752
2021-03-22;C017;Miramon;12.85;12:00;60.64;12:00;10.152;12:00;0.0;353.9529682592843;75.97408904161883;4.115454083749422;6.2589999999999995;1.35356301391898;3.890076101517664;0.5250023867607105
2021-03-23;C017;Miramon;13.48;12:00;63.14;12:00;9.756;12:00;0.0;202.9196475160563;80.91759933767969;5.031538170229422;8.389399999999998;2.0535271844797593;4.8461729937558395;0.8715585338207829
2021-03-24;C017;Miramon;14.68;12:00;68.39;12:00;16.164;12:00;0.0;242.94506374171945;82.53497073881003;5.881802536909422;10.735799999999998;3.4378967580982684;5.736704136194865;2.5821243556136935
2021-03-25;C017;Miramon;12.56;12:00;79.6;12:00;5.976;12:00;0.0;286.84764845881847;82.35120014449883;6.356813191309422;12.700599999999998;2.0110184991693796;6.2528370786926;0.9568508467073236
2021-03-26;C017;Miramon;12.68;12:00;78.27;12:00;15.371999999999998;12:00;0.0;256.1347223646612;82.39803236722024;6.867237592549422;14.686999999999998;3.2475657222033694;6.7945566406617015;2.6609913079181604
2021-03-27;C017;Miramon;13.1;12:00;62.69;12:00;11.268;12:00;0.7000000000000001;0.8916156807835591;81.74928168530985;7.770338081749422;16.748999999999995;2.4404014526378597;7.701059013956682;1.9103253276721202
